Y;X;date_from;date_to;Operation time;Last year;Use data;gaw_id;platform_id;platform_name;TEMIS Dataset index (in TEMIS sheet);TEMIS_dataset_name;TEMIS Lat;TEMIS Lon;Diff_lat_lon;dx  (from https://www.kompf.de/gps/distcalc.html, Verbesserte Methode);dy;Distance;wmo_region;contributor_name;revision_date;country_code;elevation;elevation
56.16999817;10.19999981;1952/06/01 00:00:00+00;1988/02/01 00:00:00+00;35.69315068;1988;1;AHS;34;Ã…rhus;3;Aarhus_teff.dat;56.167;10.2;0.00299836;-1.17769E-05;0.333696321;0.333696321;VI;Danish Meteorological Institute;;DNK;53;53
41.75;42.75;1973/09/06 00:00:00+00;1989/12/07 00:00:00+00;16.2630137;1989;1;ABA;33;Abastumani;6;Abustumani_teff.dat;41.75;42.833;0.083;-6.892848941;0;6.892848941;VI;Main Geophysical Observatory of  Russia;;GEO;1650;1650
52;-4;2016/01/01 00:00:00+00;2019/04/01 00:00:00+00;3.249315068;2019;0;AWT;514;Aberystwyth;4;Aberystwyth_teff.dat;52.484;-4.067;0.551;4.567202731;-53.8692;54.06246433;VI;University of Manchester;;GBR;0;0
24.45;54.32;2017/01/01 00:00:00+00;2017/09/21 00:00:00+00;0.720547945;2017;0;ADB;397;Abu Dhabi;381;Mussafa_teff.dat;24.37;54.47;0.23;-15.20321423;8.904;17.61870991;II;National Center of Meteorology and Seismology;2017/10/30 13:03:26+00;ARE;20;20
37.9918;23.7802;2003/06/11 00:00:00+00;2023/07/20 00:00:00+00;20.12054795;2023;1;;449;Academy of Athens;44;Athens_teff.dat;37.98;23.73;0.062;4.404097401;1.31334;4.595751938;VI;Biomedical Research Foundation of the Academy of Athens;2023/07/24 18:59:08+00;GRC;180;180
44.3769989;-68.26100159;1998/03/04 13:48:34+00;2003/11/06 07:38:18+00;5.679452055;2003;1;ACA;389;Acadia (ME);7;Acadia_National_Forest_teff.dat;44.22;-68.13;0.28800049;-10.43689322;17.47397757;20.35359016;IV;US Environmental Protection Agency and the University of Georgia at Athens;;USA;122;122
23.01666641;72.65000153;1960/01/24 00:00:00+00;1996/12/02 00:00:00+00;36.88219178;1996;1;AHM;73;Ahmadabad;9;Ahmedabad_teff.dat;23.03;72.65;0.01333512;0.00015673;-1.484028567;1.484028575;II;Physical Research Laboratory of India;;IND;55;55
9.979999542;-84.20999908;2005/07/08 18:08:08+00;2009/12/22 15:08:20+00;4.460273973;2009;0;ALC;494;Alajuela;14;Alajuela_teff.dat;9.98;-84.21;1.378E-06;0.000100847;-5.09754E-05;0.000112998;IV;University of Colorado;2018/05/04 13:55:17+00;CRI;899;899
8.98;-79.55;1980/08/30 04:00:00+00;1980/09/18 14:00:00+00;0.052054795;1980;0;ARK;229;Albrook;15;Albrook_teff.dat;8.983;-79.55;0.003;0;-0.3339;0.3339;IV;UNKNOWN;;PAN;66;66
35.04000092;-106.6200027;1963/11/11 00:00:00+00;1968/09/19 00:00:00+00;4.860273973;1968;0;ABQ;103;Albuquerque (NM);16;Albuquerque_teff.dat;35;-106.39;0.27000362;-20.96628629;4.452102396;21.43376721;IV;NOAA - Climate Monitoring and Diagnostics Laboratory;;USA;1617;1617
54.65000153;-6.217000008;1952/06/10 00:00:00+00;1957/04/02 00:00:00+00;4.81369863;1957;0;ALD;162;Aldergrove;152;Dublin_teff.dat;53.19;-6.15;1.527001538;-4.392663004;162.4981703;162.5575308;VI;03RD-QJRMS;;GBR;72;72
82.49914551;-62.34152603;1957/07/04 00:00:00+00;2023/06/28 23:15:40+00;66.02739726;2023;1;ALT;18;Alert;18;Alert_teff.dat;82.451;-62.508;0.21461948;2.431441361;5.358595263;5.88442438;IV;Meteorological Service of Canada (Atmospheric Environment Service);2018/06/05 15:27:14+00;CAN;210;210
43.13999939;76.55999756;1974/01/02 00:00:00+00;2022/06/01 00:00:00+00;48.44383562;2022;1;ATY;3;Almaty;21;Alma-Ata_teff.dat;43.23;76.93;0.46000305;-30.03124131;-10.01706789;31.65781268;II;Main Geophysical Observatory of  Russia;2018/04/24 12:51:49+00;KAZ;851;851
40.38333511;44.25;2000/11/03 00:00:00+00;2020/08/05 00:00:00+00;19.76712329;2020;1;ARM;410;Amberd;22;Amberd_teff.dat;40.38;44.25;0.00333511;0;0.371197743;0.371197743;VI;Armenian State Hydrometeorological and Monitoring Service (formerly DHRA);2018/05/22 15:30:52+00;ARM;2070;2070
40.38333511;44.25;2017/03/02 00:00:00+00;2021/06/01 00:00:00+00;4.252054795;2021;1;ARM;410;Amberd;22;Amberd_teff.dat;40.38;44.25;0.00333511;0;0.371197743;0.371197743;VI;Czech HydroMeteorological Institute - Hradec-Kralove;;ARM;2070;2070
40.38333511;44.25;2000/11/03 00:00:00+00;2023/09/01 00:00:00+00;22.84109589;2023;1;ARM;410;Amberd;22;Amberd_teff.dat;40.38;44.25;0.00333511;0;0.371197743;0.371197743;VI;Hydrometeorology and Monitoring Center State Non-Commercial Organization;2023/05/23 19:44:38+00;ARM;;
69.27845001;16.00927925;2000/03/18 00:00:00+00;2020/10/01 00:00:00+00;20.55342466;2020;1;ARR;476;Andoya;26;Andenes_teff.dat;69.18;16;0.10772926;0.366475149;10.95748611;10.96361281;VI;Norwegian Institute for Air Research;2018/04/24 12:51:59+00;NOR;360;360
38.66666794;-27.21666718;1992/07/11 00:00:00+00;1997/08/01 00:00:00+00;5.060273973;1997;1;ANG;327;Angra de Heroismo (AÃ§ores);28;Angra_do_Heroismo_teff.dat;38.659;-27.223;0.01400076;0.550422607;0.853441722;1.015543115;VI;Portuguese Institute of Meteorology;;PRT;74;74
39.95000076;32.88299942;1994/01/13 12:00:00+00;2015/12/01 00:00:00+00;21.89589041;2015;1;TRA;348;Ankara;29;Ankara_teff.dat;39.97;32.863;0.03999866;1.706352022;-2.225915412;2.804699029;VI;Turkish State Meteorological Service;;TUR;896;896
36.53833389;126.3300018;2013/05/01 00:00:00+00;2021/12/02 00:00:00+00;8.594520548;2021;1;AMY;516;Anmyeon-do;508;Seoul_teff.dat;37.57;126.98;1.68166431;-57.74125749;-114.824438;128.5251119;II;Korea Meteorological Administration;2021/03/01 14:38:32+00;KOR;46;46
