station,ad_ordinary,ad_ordinary_perc,cd_ordinary,cd_ordinary_perc,ad_focused,ad_focused_perc,cd_focused,cd_focused_perc,total_observations,cd_all,CD-bias corrected,Processing group,Confirmed
STN111,4056,30.35%,1177,8.81%,1235,9.24%,3140,23.49%,13365,4317,TRUE,NOAA,TRUE
STN029,14110,69.97%,4098,20.32%,6,0.03%,0,0.00%,20167,4098,FALSE,ABM,TRUE
STN068,14001,59.09%,3758,15.86%,157,0.66%,6,0.03%,23695,3764,FALSE,PAS,FALSE
STN077,5186,25.78%,3295,16.38%,0,0.00%,0,0.00%,20120,3295,FALSE,ECCC,TRUE
STN043,12401,66.55%,3101,16.64%,1,0.01%,38,0.20%,18635,3139,FALSE,UKMO,TRUE
STN050,8929,52.42%,2240,13.15%,0,0.00%,0,0.00%,17032,2240,FALSE,DWD,TRUE
STN339,5660,61.31%,1784,19.32%,1,0.01%,0,0.00%,9232,1784,FALSE,SMNA,TRUE
STN268,2359,57.93%,864,21.22%,132,3.24%,717,17.61%,4072,1581,TRUE,NOAA,TRUE
STN036,6381,65.98%,1349,13.95%,0,0.00%,0,0.00%,9671,1349,FALSE,UKMO,TRUE
STN101,10903,78.51%,1261,9.08%,974,7.01%,0,0.00%,13888,1261,TRUE,JMA,TRUE
STN024,4625,28.14%,822,5.00%,273,1.66%,293,1.78%,16438,1115,FALSE,ECCC,TRUE
STN102,4307,79.67%,1096,20.27%,0,0.00%,0,0.00%,5406,1096,FALSE,UKMO,TRUE
STN354,0,0.00%,0,0.00%,0,0.00%,1001,77.18%,1297,1001,FALSE,Belarus State University - Nat. Ozone Monitoring Research and Education Centre,TRUE
STN233,4306,52.73%,714,8.74%,0,0.00%,0,0.00%,8166,714,FALSE,SMNA,TRUE
STN105,5751,81.47%,545,7.72%,49,0.69%,148,2.10%,7059,693,TRUE,NOAA,TRUE
STN199,3852,78.74%,514,10.51%,16,0.33%,81,1.66%,4892,595,TRUE,NOAA,TRUE
STN021,7685,29.10%,378,1.43%,100,0.38%,200,0.76%,26409,578,FALSE,ECCC,TRUE
STN076,6776,30.00%,383,1.70%,157,0.70%,92,0.41%,22587,475,FALSE,ECCC,TRUE
STN040,9437,45.45%,408,1.96%,1,0.00%,3,0.01%,20764,411,TRUE,NOAA,TRUE
STN256,15075,97.56%,361,2.34%,0,0.00%,16,0.10%,15452,377,TRUE,NOAA,TRUE
STN020,11380,86.90%,301,2.30%,0,0.00%,2,0.02%,13096,303,TRUE,NOAA,TRUE
STN226,9052,97.50%,232,2.50%,0,0.00%,0,0.00%,9284,232,FALSE,RNMA,TRUE
STN217,687,76.76%,174,19.44%,0,0.00%,34,3.80%,895,208,TRUE,NOAA,TRUE
STN072,602,63.57%,14,1.48%,55,5.81%,134,14.15%,947,148,FALSE,?NOAA?,FALSE
STN019,15887,86.99%,138,0.76%,0,0.00%,0,0.00%,18264,138,TRUE,NOAA,TRUE
STN065,9677,16.90%,118,0.21%,9,0.02%,0,0.00%,57264,118,FALSE,ECCC,TRUE
STN342,7690,81.77%,111,1.18%,0,0.00%,0,0.00%,9404,111,FALSE,SMNA,TRUE
STN067,15510,99.19%,92,0.59%,2,0.01%,0,0.00%,15636,92,TRUE,NOAA,TRUE
STN232,1862,9.51%,32,0.16%,35,0.18%,56,0.29%,19574,88,FALSE,BAS,TRUE
STN498,3905,97.72%,87,2.18%,0,0.00%,0,0.00%,3996,87,FALSE,Kyiv National Taras Shevchenko University,TRUE
STN159,14410,99.45%,79,0.55%,0,0.00%,1,0.01%,14490,80,TRUE,NOAA,TRUE
STN091,12996,87.50%,79,0.53%,25,0.17%,0,0.00%,14852,79,FALSE,SMNA,TRUE
STN284,3429,35.01%,3,0.03%,12,0.12%,72,0.74%,9795,75,FALSE,"SMHI ""Swedish Meteorological and Hydrological Institute""",TRUE
STN018,82,1.31%,0,0.00%,39,0.62%,70,1.12%,6256,70,FALSE,ECCC,TRUE
STN069,237,59.40%,11,2.76%,14,3.51%,50,12.53%,399,61,FALSE,"?""Hallett"" ",FALSE
STN192,3152,96.69%,58,1.78%,0,0.00%,0,0.00%,3260,58,FALSE,?Mexico Institute of Geophysics,FALSE
STN023,945,69.79%,3,0.22%,38,2.81%,37,2.73%,1354,40,FALSE,ECCC,TRUE
STN058,44,28.95%,0,0.00%,3,1.97%,38,25.00%,152,38,FALSE,"?""Little America""",FALSE
STN057,1342,10.47%,0,0.00%,47,0.37%,34,0.27%,12815,34,FALSE,BAS,TRUE
STN089,132,9.14%,7,0.48%,0,0.00%,27,1.87%,1444,34,FALSE,NILU ,TRUE
STN513,441,17.68%,30,1.20%,0,0.00%,0,0.00%,2494,30,FALSE,SMNA,TRUE
STN097,799,63.26%,15,1.19%,0,0.00%,0,0.00%,1263,15,FALSE,?CNRS?,FALSE
STN106,15392,95.63%,14,0.09%,0,0.00%,0,0.00%,16096,14,TRUE,NOAA,TRUE
STN051,58,0.28%,11,0.05%,0,0.00%,0,0.00%,21042,11,FALSE,"?""Icelandic Meteorological Office""?",FALSE
STN052,368,9.02%,8,0.20%,7,0.17%,3,0.07%,4082,11,FALSE,?University of Tromso?,FALSE
STN191,9057,98.71%,11,0.12%,1,0.01%,0,0.00%,9175,11,TRUE,NOAA,TRUE
STN031,29348,84.99%,9,0.03%,0,0.00%,0,0.00%,34530,9,TRUE,NOAA,TRUE
STN197,2311,99.74%,6,0.26%,0,0.00%,0,0.00%,2317,6,FALSE,"?CNRS""?",FALSE
STN048,9404,77.21%,5,0.04%,363,2.98%,0,0.00%,12179,5,FALSE,UKMO,TRUE
STN034,5569,52.05%,4,0.04%,14,0.13%,0,0.00%,10700,4,FALSE,?,
STN201,6693,44.50%,4,0.03%,0,0.00%,0,0.00%,15040,4,FALSE,?,
STN245,12241,99.97%,4,0.03%,0,0.00%,0,0.00%,12245,4,FALSE,?,
STN039,891,68.43%,0,0.00%,1,0.08%,3,0.23%,1302,3,FALSE,?,
STN055,11620,87.45%,3,0.02%,1,0.01%,0,0.00%,13287,3,FALSE,?,
STN073,4422,94.25%,2,0.04%,12,0.26%,1,0.02%,4692,3,FALSE,?,
STN107,10253,99.69%,3,0.03%,0,0.00%,0,0.00%,10285,3,TRUE,NOAA,
STN064,1965,91.65%,2,0.09%,0,0.00%,0,0.00%,2144,2,FALSE,?,
STN070,5330,98.74%,2,0.04%,0,0.00%,0,0.00%,5398,2,FALSE,?,
STN155,2448,99.63%,2,0.08%,0,0.00%,0,0.00%,2457,2,FALSE,?,
STN208,11118,99.98%,2,0.02%,0,0.00%,0,0.00%,11120,2,FALSE,?,
STN429,5087,99.96%,2,0.04%,0,0.00%,0,0.00%,5089,2,TRUE,NOAA,
STN464,4424,97.81%,2,0.04%,0,0.00%,0,0.00%,4523,2,FALSE,?,
STN009,4090,64.21%,1,0.02%,0,0.00%,0,0.00%,6370,1,FALSE,?,
STN011,16687,99.23%,0,0.00%,0,0.00%,1,0.01%,16817,1,FALSE,?,
STN022,4184,92.83%,1,0.02%,0,0.00%,0,0.00%,4507,1,FALSE,?,
STN027,22123,99.90%,1,0.00%,0,0.00%,0,0.00%,22145,1,FALSE,?,
STN054,1651,54.43%,0,0.00%,0,0.00%,1,0.03%,3033,1,FALSE,?,
STN082,6640,79.55%,1,0.01%,0,0.00%,0,0.00%,8347,1,FALSE,?,
STN110,9017,99.28%,1,0.01%,0,0.00%,0,0.00%,9082,1,FALSE,?,
STN132,917,20.03%,1,0.02%,0,0.00%,0,0.00%,4579,1,FALSE,?,
STN209,6619,99.98%,1,0.02%,0,0.00%,0,0.00%,6620,1,FALSE,?,
STN267,103,1.45%,1,0.01%,0,0.00%,0,0.00%,7110,1,FALSE,?,
STN295,0,0.00%,1,0.01%,0,0.00%,0,0.00%,6795,1,FALSE,?,
STN312,0,0.00%,1,0.01%,0,0.00%,0,0.00%,10405,1,FALSE,?,
STN330,1,0.01%,1,0.01%,0,0.00%,0,0.00%,7766,1,FALSE,?,
